note,zone,floor,landmark
Parked near the blue pillar in Zone A,A,,blue pillar
I left my car on Level 2 beside the elevator,,2,elevator
Near the Engineering Building main gate,,,Engineering Building gate
Parked in Zone B close to the red wall,B,,red wall
Level 3 next to the staircase,,3,staircase
Near the shopping mall entrance,,,shopping mall entrance
Zone C beside the green pillar,C,,green pillar
Parked on Level 1 near the security booth,,1,security booth
Close to the fountain in Zone A,A,,fountain
Level 4 beside the fire exit,,4,fire exit
Near the library entrance,,,library entrance
Zone B on Level 2 near the ATM machine,B,2,ATM machine
Parked close to the yellow barrier in Zone D,D,,yellow barrier
Level 5 near the rooftop garden,,5,rooftop garden
Zone A beside the bicycle rack,A,,bicycle rack
Near the food court entrance,,,food court entrance
Parked on Level 3 close to the lift,,3,lift
Zone C near the orange cone,C,,orange cone
Level 2 near the handicap parking sign,,2,handicap parking sign
Near the main entrance gate,,,main entrance gate
Zone B beside the blue car,B,,blue car
Level 1 close to the guard house,,1,guard house
Near the bus stop outside Zone A,A,,bus stop
Parked beside the white wall on Level 3,,3,white wall
Zone D close to the fire hydrant,D,,fire hydrant
Level 6 near the water tank,,6,water tank
Near the back exit of Zone C,C,,back exit
Parked on Level 2 beside the pillar number 5,,2,pillar number 5
Zone A near the ticketing machine,A,,ticketing machine
Level 4 close to the emergency exit,,4,emergency exit
Near the pedestrian crossing in Zone B,B,,pedestrian crossing
Parked beside the electrical panel on Level 1,,1,electrical panel
Zone C on Level 3 near the ramp,C,3,ramp
Near the pharmacy entrance,,,pharmacy entrance
Level 2 close to the trolley bay,,2,trolley bay
Zone B near the covered walkway,B,,covered walkway
Parked on Level 5 near the skybridge,,5,skybridge
Near the taxi stand outside Zone D,D,,taxi stand
Zone A beside the silver pillar,A,,silver pillar
Level 3 near the service elevator,,3,service elevator
Near the clinic entrance on Level 1,,1,clinic entrance
Zone C close to the blue sign,C,,blue sign
Parked on Level 2 near the roof opening,,2,roof opening
Near the food stall row in Zone B,B,,food stall row
Level 4 beside the painted wall,,4,painted wall
Zone D near the corner pillar,D,,corner pillar
Parked on Level 1 close to exit ramp,,1,exit ramp
Near the mosque entrance,,,mosque entrance
Zone A on Level 3 close to the CCTV camera,A,3,CCTV camera
Level 2 beside the charging station,,2,charging station
Near the gym entrance in Zone B,B,,gym entrance
Parked close to pillar A12 in Zone A,A,,pillar A12
Level 5 near the open air section,,5,open air section
Zone C beside the broken light,C,,broken light
Near the supermarket loading bay,,,supermarket loading bay
Parked on Level 3 near the exit sign,,3,exit sign
Zone B close to the curved wall,B,,curved wall
Level 1 near the reception area,,1,reception area
Near the ATM beside Zone D,D,,ATM
Parked on Level 4 close to column B7,,4,column B7
Zone A near the parking attendant booth,A,,parking attendant booth
Level 2 beside the drainage gutter,,2,drainage gutter
Near the cinema entrance,,,cinema entrance
Zone C on Level 4 near the wall mural,C,4,wall mural
Parked beside the red fire extinguisher on Level 3,,3,red fire extinguisher
Near the sports complex gate in Zone B,B,,sports complex gate
Level 6 near the rooftop exit,,6,rooftop exit
Zone D beside the black pillar,D,,black pillar
Parked on Level 1 near the entry barrier,,1,entry barrier
Near the florist shop entrance,,,florist shop entrance
Zone A close to the green emergency light,A,,green emergency light
Level 3 beside the painted number 3B,,3,painted number 3B
Near the hotel lobby entrance,,,hotel lobby entrance
Zone B on Level 5 near the air vent,B,5,air vent
Parked close to the concrete barrier in Zone C,C,,concrete barrier
Level 2 near the overflow parking area,,2,overflow parking area
Near the playground beside Zone A,A,,playground
Parked on Level 4 near the drainage pipe,,4,drainage pipe
Zone D close to the side entrance,D,,side entrance
Level 1 beside the boom gate,,1,boom gate
Near the bank entrance in Zone B,B,,bank entrance
Parked on Level 3 close to pillar C4,,3,pillar C4
Zone A near the outdoor seating area,A,,outdoor seating area
Level 5 beside the glass wall,,5,glass wall
Near the post office entrance,,,post office entrance
Zone C close to the yellow line marking,C,,yellow line marking
Parked on Level 2 near the ventilation shaft,,2,ventilation shaft
Near the coffee shop in Zone B,B,,coffee shop
Level 4 beside the stairwell door,,4,stairwell door
Zone D near the loading dock,D,,loading dock
Parked on Level 1 beside the info board,,1,info board
Near the school bus parking zone,,,school bus parking zone
Zone A on Level 2 beside the water pipe,A,2,water pipe
Level 3 near the electrical room,,3,electrical room
Near the hotel parking entrance,,,hotel parking entrance
Zone B close to the visitor parking sign,B,,visitor parking sign
Parked on Level 6 near the helipad entrance,,6,helipad entrance
Zone C beside the painted arrow on floor,C,,painted arrow
Level 2 close to the exit staircase,,2,exit staircase
Near the convenience store in Zone D,D,,convenience store
